Date,temp_c,n_conc,rep,Fluorescence,excitation_λ,emission_λ
12/9/2023,18,10,C,187.687,488,535
12/9/2023,18,spike,A,130.613,488,535
12/9/2023,18,spike,B,142.326,488,535
12/9/2023,18,spike,C,286.265,488,535
12/9/2023,22,100,A,253.536,488,535
12/9/2023,22,100,B,211.393,488,535
12/9/2023,22,100,C,216.749,488,535
12/9/2023,22,10,A,52.922,488,535
12/9/2023,22,10,B,82.963,488,535
12/9/2023,22,10,C,85.677,488,535
12/9/2023,22,spike,A,93.832,488,535
12/9/2023,22,spike,B,190.322,488,535
12/9/2023,22,spike,C,208.274,488,535
12/9/2023,28,100,A,44.769,488,535
12/9/2023,28,100,B,49.274,488,535
12/9/2023,28,100,C,118.696,488,535
12/9/2023,28,10,A,50.358,488,535
12/9/2023,28,10,B,92.287,488,535
12/9/2023,28,10,C,98.661,488,535
12/11/2023,18,100,A,172.709,488,535
12/11/2023,18,100,B,207.021,488,535
12/11/2023,18,100,C,191.827,488,535
12/11/2023,18,10,A,214.229,488,535
12/11/2023,18,10,B,231.589,488,535
12/11/2023,18,10,C,298.355,488,535
12/11/2023,18,spike,A,404.914,488,535
12/11/2023,18,spike,B,376.108,488,535
12/11/2023,18,spike,C,498.487,488,535
12/11/2023,22,100,A,424.279,488,535
12/11/2023,22,100,B,399.423,488,535
12/11/2023,22,100,C,503.366,488,535
12/11/2023,22,10,A,96.549,488,535
12/11/2023,22,10,B,143.68,488,535
12/11/2023,22,10,C,130.477,488,535
12/11/2023,22,spike,A,417.331,488,535
12/11/2023,22,spike,B,604.38,488,535
12/11/2023,22,spike,C,533.428,488,535
12/11/2023,28,100,A,46.384,488,535
12/11/2023,28,100,B,73.551,488,535
12/11/2023,28,100,C,62.555,488,535
12/11/2023,28,10,A,85.745,488,535
12/11/2023,28,10,B,128.869,488,535
12/11/2023,28,10,C,168.161,488,535
1/18/2024,25,100,A,148.125,488,535
1/18/2024,25,100,B,154.271,488,535
1/18/2024,25,100,C,170.824,488,535
1/18/2024,25,10,A,150472,488,535
1/18/2024,25,10,B,140.752,488,535
1/18/2024,25,10,C,162.843,488,535
1/19/2024,25,100,A,147.742,488,535
1/19/2024,25,100,B,147.076,488,535
1/19/2024,25,100,C,134.675,488,535
1/19/2024,25,10,A,141.957,488,535
1/19/2024,25,10,B,140.603,488,535
1/19/2024,25,10,C,131.476,488,535
1/20/2024,25,100,A,152.802,488,535
1/20/2024,25,100,B,148.639,488,535
1/20/2024,25,100,C,146.309,488,535
1/20/2024,25,10,A,144.829,488,535
1/20/2024,25,10,B,141.842,488,535
1/20/2024,25,10,C,157.869,488,535
1/22/2024,25,100,A,225.631,488,535
1/22/2024,25,100,B,224.06,488,535
1/22/2024,25,100,C,247.863,488,535
1/22/2024,25,10,A,240.548,488,535
1/22/2024,25,10,B,259.351,488,535
1/22/2024,25,10,C,324.387,488,535
1/23/2024,25,100,A,232.387,488,535
1/23/2024,25,100,B,56.169,488,535
1/23/2024,25,100,C,2501.966,488,535
1/23/2024,25,10,A,372.395,488,535
1/23/2024,25,10,B,392.107,488,535
1/23/2024,25,10,C,363.348,488,535
1/24/2024,25,100,A,358.117,488,535
1/24/2024,25,100,B,382.628,488,535
1/24/2024,25,100,C,542.542,488,535
1/24/2024,25,10,A,404.51,488,535
1/24/2024,25,10,B,404.133,488,535
1/24/2024,25,10,C,480.019,488,535
1/25/2024,25,100,A,590.268,488,535
1/25/2024,25,100,B,610.272,488,535
1/25/2024,25,100,C,591.488,488,535
1/25/2024,25,10,A,403.753,488,535
1/25/2024,25,10,B,370.958,488,535
1/25/2024,25,10,C,445.396,488,535
1/26/2024,25,100,A,428.152,488,535
1/26/2024,25,100,B,452.943,488,535
1/26/2024,25,100,C,472.094,488,535
1/26/2024,25,10,A,368.804,488,535
1/26/2024,25,10,B,303.348,488,535
1/26/2024,25,10,C,341.757,488,535
1/26/2024,25,spike,A,530.771,488,535
1/26/2024,25,spike,B,406.543,488,535
1/26/2024,25,spike,C,487.21,488,535
1/27/2024,25,100,A,651.193,488,535
1/27/2024,25,100,B,729.22,488,535
1/27/2024,25,100,C,676.778,488,535
1/27/2024,25,10,A,370.967,488,535
1/27/2024,25,10,B,325.801,488,535
1/27/2024,25,10,C,401.485,488,535
1/27/2024,25,spike,A,830.507,488,535
1/27/2024,25,spike,B,790.067,488,535
1/27/2024,25,spike,C,882.349,488,535
