Date,temp_c,n_conc,rep,Fluorescence
10/21/2023,28,spike,B,293.193
10/21/2023,28,spike,C,7.983
10/22/2023,18,100,A,519.145
10/22/2023,18,100,B,592.254
10/22/2023,18,100,C,583.401
10/22/2023,18,10,A,263.675
10/22/2023,18,10,B,324.531
10/22/2023,18,10,C,326.635
10/22/2023,18,spike,A,1084.228
10/22/2023,18,spike,B,940.104
10/22/2023,18,spike,C,953.73
10/22/2023,22,100,A,533.773
10/22/2023,22,100,B,798.088
10/22/2023,22,100,C,958.864
10/22/2023,22,10,A,222.686
10/22/2023,22,10,B,175.254
10/22/2023,22,10,C,198.269
10/22/2023,22,spike,A,1210.159
10/22/2023,22,spike,B,896.526
10/22/2023,22,spike,C,1390.306
10/22/2023,28,100,A,717.941
10/22/2023,28,100,B,831.659
10/22/2023,28,100,C,685.329
10/22/2023,28,10,A,293.442
10/22/2023,28,10,B,249.342
10/22/2023,28,10,C,4.29
10/22/2023,28,spike,A,866.685
10/22/2023,28,spike,B,836.396
10/22/2023,28,spike,C,4.358
10/23/2023,18,100,A,534.065
10/23/2023,18,100,B,510.93
10/23/2023,18,100,C,501.869
10/23/2023,18,10,A,184.713
10/23/2023,18,10,B,266.544
10/23/2023,18,10,C,221.985
10/23/2023,18,spike,A,773.802
10/23/2023,18,spike,B,777.95
10/23/2023,18,spike,C,715.459
10/23/2023,22,100,A,401.119
10/23/2023,22,100,B,565.971
10/23/2023,22,100,C,697.505
10/23/2023,22,10,A,167.873
10/23/2023,22,10,B,159.805
10/23/2023,22,10,C,159.014
10/23/2023,22,spike,A,790.568
10/23/2023,22,spike,B,600.526
10/23/2023,22,spike,C,694.086
10/23/2023,28,100,A,642.878
10/23/2023,28,100,B,678.418
10/23/2023,28,10,A,290.541
10/23/2023,28,10,B,211.724
10/23/2023,28,spike,A,649.72
10/23/2023,28,spike,B,590.538
