Well	temp_c	n_conc	strain	rep
A01	18	100	874	A
A02	18	100	874	B
A03	18	100	874	C
A04	22	100	874	A
A05	22	100	874	B
A06	22	100	874	C
A07	28	100	874	A
A08	28	100	874	B
A09	28	100	874	C
B01	18	10	874	A
B02	18	10	874	B
B03	18	10	874	C
B04	22	10	874	A
B05	22	10	874	B
B06	22	10	874	C
B07	28	10	874	A
B08	28	10	874	B
B09	28	10	874	C
C01	18	100	874	A
C02	18	100	874	B
C03	18	100	874	C
C04	22	100	874	A
C05	22	100	874	B
C06	22	100	874	C
C07	28	100	874	A
C08	28	100	874	B
C09	28	100	874	C
D01	18	10	874	A
D02	18	10	874	B
D03	18	10	874	C
D04	22	10	874	A
D05	22	10	874	B
D06	22	10	874	C
D07	28	10	874	A
D08	28	10	874	B
D09	28	10	874	C
E01	18	100	874	A
E02	18	100	874	B
E03	18	100	874	C
E04	22	100	874	A
E05	22	100	874	B
E06	22	100	874	C
E07	28	100	874	A
E08	28	100	874	B
E09	28	100	874	C
F01	18	10	874	A
F02	18	10	874	B
F03	18	10	874	C
F04	22	10	874	A
F05	22	10	874	B
F06	22	10	874	C
F07	28	10	874	A
F08	28	10	874	B
F09	28	10	874	C
G01	18	100	874	A
G02	18	100	874	B
G03	18	100	874	C
G04	22	100	874	A
G05	22	100	874	B
G06	22	100	874	C
G07	28	100	874	A
G08	28	100	874	B
G09	28	100	874	C
H01	18	10	874	A
H02	18	10	874	B
H03	18	10	874	C
H04	22	10	874	A
H05	22	10	874	B
H06	22	10	874	C
H07	28	10	874	A
H08	28	10	874	B
H09	28	10	874	C
Z01	18	Spike	874	A
Z02	18	Spike	874	B
Z03	18	Spike	874	C
Z04	22	Spike	874	A
Z05	22	Spike	874	B
Z06	22	Spike	874	C
Z07	28	Spike	874	A
Z08	28	Spike	874	B
Z09	28	Spike	874	C
